iso3,country,usage_count,usage_pct,usage_per_capita_index,gdp_per_working_age_capita
AGO,Angola,238,0.0247,0.046,5797
ALB,Albania,370,0.0384,0.789,15160
AND,Andorra,40,0.0041,2.593,68286
ARE,United Arab Emirates,3011,0.3122,1.292,60127
ARG,Argentina,6168,0.6395,0.784,20966
ARM,Armenia,818,0.0848,1.541,12551
AUS,Australia,18753,1.9443,4.101,102513
AUT,Austria,2600,0.2696,1.666,87151
AZE,Azerbaijan,484,0.0502,0.261,10460
BDI,Burundi,59,0.0061,0.031,640
BEL,Belgium,3659,0.3794,1.861,88246
BEN,Benin,527,0.0546,0.252,2655
BFA,Burkina Faso,273,0.0283,0.080,1833
BGD,Bangladesh,3318,0.3440,0.112,3967
BGR,Bulgaria,1558,0.1615,1.460,27428
BHR,Bahrain,228,0.0236,0.711,38162
BHS,Bahamas,46,0.0048,0.625,52317
BIH,Bosnia and Herzegovina,360,0.0373,0.674,14058
BLZ,Belize,38,0.0039,0.511,12013
BMU,Bermuda,29,0.0030,2.660,0
BOL,Bolivia,1012,0.1049,0.484,6039
BRA,Brazil,35482,3.6788,0.926,14783
BRB,Barbados,63,0.0065,1.291,38323
BRN,Brunei,61,0.0063,0.699,46216
BTN,Bhutan,60,0.0062,0.400,5381
BWA,Botswana,104,0.0108,0.248,12027
CAN,Canada,20426,2.1178,2.914,83397
CHE,Switzerland,4311,0.4470,2.813,159448
CHL,Chile,4115,0.4266,1.158,24249
CIV,Ivory Coast,939,0.0974,0.199,4825
CMR,Cameroon,937,0.0971,0.221,3250
COG,Republic of the Congo,120,0.0124,0.128,4157
COL,Colombia,7948,0.8241,0.824,11314
CPV,Cabo Verde,40,0.0041,0.432,7683
CRI,Costa Rica,1211,0.1256,1.312,26952
CUW,Curacao,29,0.0030,1.044,0
CYM,Cayman Islands,35,0.0036,2.409,0
CYP,Cyprus,587,0.0609,2.390,38405
CZE,Czechia,3097,0.3211,1.711,49715
DEU,Germany,25143,2.6069,1.835,88694
DJI,Djibouti,21,0.0022,0.104,5521
DMA,Dominica,17,0.0018,1.423,15220
DNK,Denmark,2282,0.2366,2.307,113264
DOM,Dominican Republic,1131,0.1173,0.579,16638
DZA,Algeria,1958,0.2030,0.254,8970
ECU,Ecuador,3042,0.3154,0.957,9988
EGY,Egypt,5376,0.5574,0.281,5227
ESP,Spain,10582,1.0972,1.261,53519
EST,Estonia,701,0.0727,3.106,49410
FIN,Finland,1708,0.1771,1.890,86239
FJI,Fiji,59,0.0061,0.367,9643
FRA,France,21314,2.2099,1.944,75226
GAB,Gabon,115,0.0119,0.292,13767
GBR,United Kingdom,30474,3.1596,2.665,83153
GEO,Georgia,1335,0.1384,2.191,14463
GGY,Guernsey,16,0.0017,NaN,0
GHA,Ghana,1892,0.1962,0.348,3978
GIN,Guinea,77,0.0080,0.036,3137
GLP,Guadeloupe,44,0.0046,NaN,0
GMB,Gambia,48,0.0050,0.118,1635
GRC,Greece,2188,0.2269,1.285,39377
GRD,Grenada,16,0.0017,0.766,17384
GTM,Guatemala,1116,0.1157,0.366,9621
GUF,French Guiana,16,0.0017,NaN,0
GUM,Guam,28,0.0029,1.042,0
GUY,Guyana,31,0.0032,0.223,46285
HND,Honduras,433,0.0449,0.236,5256
HRV,Croatia,900,0.0933,1.419,38045
HTI,Haiti,135,0.0140,0.069,3475
HUN,Hungary,1524,0.1580,0.946,36107
IDN,Indonesia,18030,1.8694,0.358,7231
IMN,Isle of Man,42,0.0044,3.055,0
IND,India,68964,7.1503,0.267,3949
IRL,Ireland,2077,0.2153,2.258,163661
IRQ,Iraq,2840,0.2945,0.394,10044
ISL,Iceland,199,0.0206,2.831,124196
ISR,Israel,10941,1.1344,7.004,90237
ITA,Italy,14383,1.4912,1.472,63346
JAM,Jamaica,310,0.0321,0.573,9671
JEY,Jersey,31,0.0032,NaN,0
JOR,Jordan,893,0.0926,0.457,7136
JPN,Japan,35298,3.6597,1.857,55247
KAZ,Kazakhstan,1371,0.1421,0.412,22317
KEN,Kenya,4065,0.4215,0.459,3559
KGZ,Kyrgyzstan,276,0.0286,0.236,3906
KHM,Cambodia,733,0.0760,0.249,4190
KOR,South Korea,35285,3.6584,3.725,51496
KWT,Kuwait,344,0.0357,0.337,40521
LAO,Laos,381,0.0395,0.289,3138
LBN,Lebanon,698,0.0724,0.724,7650
LBR,Liberia,36,0.0037,0.043,1502
LCA,Saint Lucia,40,0.0041,1.171,19269
LIE,Liechtenstein,21,0.0022,3.080,0
LKA,Sri Lanka,3795,0.3935,1.008,6856
LSO,Lesotho,55,0.0057,0.146,1603
LTU,Lithuania,1045,0.1083,2.130,45109
LUX,Luxembourg,333,0.0345,2.740,199974
LVA,Latvia,645,0.0669,2.112,37169
MAR,Morocco,4845,0.5023,0.736,6160
MCO,Monaco,25,0.0026,4.926,0
MDA,Moldova,493,0.0511,1.236,11854
MDG,Madagascar,583,0.0604,0.122,950
MDV,Maldives,159,0.0165,1.524,17552
MEX,Mexico,9172,0.9510,0.400,21055
MKD,North Macedonia,330,0.0342,1.083,14284
MLT,Malta,283,0.0293,2.829,63417
MNE,Montenegro,222,0.0230,2.130,20082
MNG,Mongolia,178,0.0185,0.309,10677
MOZ,Mozambique,453,0.0470,0.095,1201
MRT,Mauritania,67,0.0069,0.092,3828
MTQ,Martinique,56,0.0058,NaN,0
MUS,Mauritius,312,0.0323,1.325,16566
MWI,Malawi,194,0.0201,0.061,961
MYS,Malaysia,4881,0.5061,0.747,16745
NAM,Namibia,179,0.0186,0.382,7435
NCL,New Caledonia,47,0.0049,0.915,0
NER,Niger,71,0.0074,0.020,1447
NGA,Nigeria,6855,0.7107,0.202,1442
NLD,The Netherlands,7752,0.8037,2.561,105769
NOR,Norway,2136,0.2215,2.260,133500
NPL,Nepal,2123,0.2201,0.422,2250
NZL,New Zealand,3647,0.3781,4.049,74634
OMN,Oman,297,0.0308,0.297,27875
PAK,Pakistan,9264,0.9605,0.239,2515
PAN,Panama,703,0.0729,0.908,29534
PER,Peru,5060,0.5246,0.849,12646
PHL,Philippines,9075,0.9409,0.451,5980
PNG,Papua New Guinea,68,0.0071,0.039,4746
POL,Poland,9972,1.0339,1.608,38209
PRI,Puerto Rico,444,0.0460,0.835,59333
PRT,Portugal,3521,0.3651,2.013,46014
PRY,Paraguay,677,0.0702,0.577,9786
PSE,Palestinian Territory,307,0.0318,0.383,0
PYF,French Polynesia,60,0.0062,1.173,0
QAT,Qatar,476,0.0494,0.767,93077
REU,Reunion,160,0.0166,NaN,0
ROU,Romania,3327,0.3449,1.040,31328
RWA,Rwanda,653,0.0677,0.299,1703
SAU,Saudi Arabia,2794,0.2897,0.414,41986
SEN,Senegal,828,0.0858,0.295,3055
SGP,Singapore,5375,0.5573,4.572,121453
SLE,Sierra Leone,54,0.0056,0.041,1509
SLV,El Salvador,443,0.0459,0.400,8316
SMR,San Marino,17,0.0018,2.936,92936
SRB,Serbia,1539,0.1596,1.422,21463
SUR,Suriname,26,0.0027,0.236,10573
SVK,Slovakia,903,0.0936,0.972,39478
SVN,Slovenia,583,0.0604,1.655,53657
SWE,Sweden,3775,0.3914,2.199,92702
SWZ,Eswatini,40,0.0041,0.198,6705
SYC,Seychelles,19,0.0020,0.839,24983
TCD,Chad,67,0.0069,0.024,1813
TGO,Togo,159,0.0165,0.112,1794
THA,Thailand,12219,1.2669,0.935,10510
TJK,Tajikistan,98,0.0102,0.059,2135
TKM,Turkmenistan,18,0.0019,0.014,17213
TLS,Timor Leste,34,0.0035,0.152,2356
TTO,Trinidad and Tobago,176,0.0182,0.706,26701
TUN,Tunisia,1886,0.1955,0.886,6506
TUR,Turkey,10402,1.0785,0.683,22651
TWN,Taiwan,9680,1.0036,2.295,48391
TZA,Tanzania,405,0.0420,0.042,2149
UGA,Uganda,608,0.0630,0.086,2080
UKR,Ukraine,6122,0.6347,0.923,7490
URY,Uruguay,762,0.0790,1.314,36408
USA,United States,208200,21.5864,3.624,132532
UZB,Uzbekistan,479,0.0497,0.080,5016
