year,title,villain,actor
1989,Batman,Coringa,Jack Nicholson
1992,Batman Returns,Pinguim,Danny DeVito
1992,Batman Returns,Mulher-Gato,Michelle Pfeiffer
1995,Batman Forever,Duas-Caras,Tommy Lee Jones
1995,Batman Forever,Charada,Jim Carrey
1997,Batman & Robin,Mr. Frio,Arnold Schwarzenegger
1997,Batman & Robin,Hera Venenosa,Uma Thurman
2005,Batman Begins,Ra's al Ghul,Liam Neeson
2005,Batman Begins,Espantalho,Cillian Murphy
2008,The Dark Knight,Coringa,Heath Ledger
2008,The Dark Knight,Duas-Caras,Aaron Eckhart
2012,The Dark Knight Rises,Bane,Tom Hardy
2022,The Batman,Charada,Paul Dano
