year,quarter,language,num_pushers
2020,1,JavaScript,1674530
2020,1,Python,977900
2020,1,TypeScript,306095
2020,2,JavaScript,1905586
2020,2,Python,1132551
2020,2,TypeScript,367805
2020,3,JavaScript,1840880
2020,3,Python,1059882
2020,3,TypeScript,372279
2020,4,JavaScript,1944738
2020,4,Python,1170038
2020,4,TypeScript,395619
2021,1,JavaScript,2031389
2021,1,Python,1201445
2021,1,TypeScript,431766
2021,2,JavaScript,2173870
2021,2,Python,1272230
2021,2,TypeScript,481669
2021,3,JavaScript,2058201
2021,3,Python,1170519
2021,3,TypeScript,472224
2021,4,JavaScript,2192171
2021,4,Python,1310888
2021,4,TypeScript,530695
2022,1,JavaScript,2389035
2022,1,Python,1383858
2022,1,TypeScript,597496
2022,2,JavaScript,2571981
2022,2,Python,1462393
2022,2,TypeScript,652366
2022,3,JavaScript,2494880
2022,3,Python,1411560
2022,3,TypeScript,674344
2022,4,JavaScript,2702788
2022,4,Python,1623098
2022,4,TypeScript,744070
2023,1,JavaScript,2814795
2023,1,Python,1655597
2023,1,TypeScript,827912
2023,2,JavaScript,2964517
2023,2,Python,1784682
2023,2,TypeScript,899101
2023,3,JavaScript,2844963
2023,3,Python,1693151
2023,3,TypeScript,891746
2023,4,JavaScript,3047854
2023,4,Python,1907885
2023,4,TypeScript,967388
2024,1,JavaScript,3197729
2024,1,Python,1951302
2024,1,TypeScript,1062491
2024,2,JavaScript,3339839
2024,2,Python,2119795
2024,2,TypeScript,1109117
2024,3,JavaScript,3260775
2024,3,Python,2005567
2024,3,TypeScript,1110826
2024,4,JavaScript,3516423
2024,4,Python,2299134
2024,4,TypeScript,1232206
2025,1,JavaScript,3734592
2025,1,Python,2501442
2025,1,TypeScript,1407181
2025,2,JavaScript,4273417
2025,2,Python,2994509
2025,2,TypeScript,1684851
2025,3,JavaScript,4372941
2025,3,Python,2985880
2025,3,TypeScript,1844894
2025,4,JavaScript,4796513
2025,4,Python,3457974
2025,4,TypeScript,2175422
2026,1,JavaScript,5662372
2026,1,Python,4109495
2026,1,TypeScript,2787317
